region,customer_name,total_sales,rank_value
Africa,"Barry Weirich",8957.52,1
Africa,"Liz Thompson",7855.94,2
Africa,"Phillina Ober",7797.12,3
Africa,"Jennifer Ferguson",6470.34,4
Africa,"Jane Waco",6173.13,5
Africa,"Dave Poirier",5858.40,6
Africa,"Benjamin Patterson",5494.24,7
Africa,"Emily Grady",5151.85,8
Africa,"Natalie Webber",5100.00,9
Africa,"Aaron Hawkins",5072.17,10
Africa,"Mike Gockenbach",4881.17,11
Africa,"Resi Pölking",4862.16,12
Africa,"Michelle Tran",4827.13,13
Africa,"Rick Wilson",4820.43,14
Africa,"Nora Pelletier",4654.74,15
Africa,"Ritsa Hightower",4476.97,16
Africa,"Georgia Rosenberg",4472.94,17
Africa,"Rob Dowd",4464.39,18
Africa,"Justin Ellison",4342.96,19
Africa,"Roger Barcio",4268.30,20
Africa,"Maria Bertelson",4214.28,21
Africa,"Bryan Spruell",4162.91,22
Africa,"Ivan Gibson",4147.74,23
Africa,"Christine Phan",4136.34,24
Africa,"Alejandro Ballentine",4083.42,25
Africa,"Astrea Jones",4071.53,26
Africa,"Henry MacAllister",4068.99,27
Africa,"Sally Matthias",4067.97,28
Africa,"Sean Miller",3993.08,29
Africa,"Linda Cazamias",3984.93,30
Africa,"Craig Carroll",3954.78,31
Africa,"Ashley Jarboe",3815.60,32
Africa,"Dennis Bolton",3691.53,33
Africa,"Gene McClure",3669.54,34
Africa,"Gary Hwang",3647.07,35
Africa,"Julia Dunbar",3468.86,36
Africa,"Mike Vittorini",3444.13,37
Africa,"Adam Hart",3425.88,38
Africa,"Guy Phonely",3414.51,39
Africa,"Duane Huffman",3410.68,40
Africa,"Jill Fjeld",3367.32,41
Africa,"Harold Dahlen",3311.33,42
Africa,"Pete Armstrong",3222.89,43
Africa,"Paul Van Hugh",3155.94,44
Africa,"Ionia McGrath",3117.99,45
Africa,"Alan Hwang",3090.06,46
Africa,"Lauren Leatherbury",3079.08,47
Africa,"Cynthia Voltz",3069.29,48
Africa,"Cari MacIntyre",3061.39,49
Africa,"Ross DeVincentis",3021.66,50
Africa,"Ben Wallace",2996.74,51
Africa,"Muhammed Yedwab",2991.46,52
Africa,"Robert Dilbeck",2959.54,53
Africa,"Barry Pond",2951.75,54
Africa,"Deirdre Greer",2948.92,55
Africa,"Maureen Gastineau",2878.70,56
Africa,"Bruce Degenhardt",2849.09,57
Africa,"Rick Hansen",2832.96,58
Africa,"Stewart Visinsky",2832.66,59
Africa,"Clay Rozendal",2793.81,60
Africa,"Joe Kamberova",2764.89,61
Africa,"Mark Haberlin",2763.60,62
Africa,"Ralph Arnett",2761.58,63
Africa,"Ed Braxton",2720.37,64
Africa,"Clay Ludtke",2712.18,65
Africa,"Roger Demir",2698.20,66
Africa,"Doug Bickford",2686.81,67
Africa,"Anna Chung",2666.58,68
Africa,"Gary Zandusky",2618.01,69
Africa,"Tim Taslimi",2616.99,70
Africa,"Patrick O'Donnell",2607.22,71
Africa,"Rose O'Brian",2598.00,72
Africa,"Tracy Blumstein",2541.37,73
Africa,"Henia Zydlo",2525.25,74
Africa,"Steve Carroll",2510.76,75
Africa,"Cindy Chapman",2488.50,76
Africa,"Guy Thornton",2474.64,77
Africa,"Don Jones",2406.72,78
Africa,"Neil Knudson",2395.35,79
Africa,"Jay Kimmel",2350.42,80
Africa,"Sean Christensen",2349.58,81
Africa,"Roy Phan",2341.62,82
Africa,"Jim Mitchum",2336.43,83
Africa,"Nat Carroll",2280.54,84
Africa,"Toby Ritter",2272.96,85
Africa,"Jonathan Howell",2272.31,86
Africa,"Denny Ordway",2260.93,87
Africa,"Jack O'Briant",2254.47,88
Africa,"Tom Ashbrook",2225.38,89
Africa,"Barry Französisch",2216.16,90
Africa,"Russell D'Ascenzo",2183.96,91
Africa,"Arthur Prichep",2151.36,92
Africa,"Charles McCrossin",2143.95,93
Africa,"Steven Cartwright",2136.68,94
Africa,"Aaron Bergman",2124.78,95
Africa,"Tony Sayre",2116.09,96
Africa,"Bryan Mills",2094.52,97
Africa,"Cyma Kinney",2080.77,98
Africa,"Randy Bradley",2079.49,99
Africa,"Erica Bern",2074.17,100
Africa,"Daniel Raglin",2065.45,101
Africa,"Julia Barnett",2057.73,102
Africa,"Alejandro Savely",2057.17,103
Africa,"Natalie Fritzler",2029.71,104
Africa,"Liz Willingham",2011.82,105
Africa,"Alejandro Grove",1996.80,106
Africa,"Filia McAdams",1993.95,107
